578,34.1561586,-118.3699039
21533,33.6577256,-117.2205771
26551,36.3302284,-119.2920585
21699,35.3559776,-119.0193825
2266,40.5084487,-106.8591612
1617,33.9979881,-118.4745905
3217,39.9611427,-105.1667339
11545,36.3302284,-119.2920585
3026,36.3430625,-119.4257238
20149,34.0243824,-118.1928726
1858,32.715738,-117.1610838
21474,32.748244,-117.135555
23666,45.6387281,-122.6614861
746,34.0023063,-118.469097
4663,32.612165,-117.09155
657,37.7839393,-122.242279
5944,36.778261,-119.4179324
827,37.7438058,-122.4216526
26586,34.1572125,-118.4054
18125,35.2827524,-120.6596156
964,34.0430774,-118.4312205
6522,32.7494988,-117.2470353
6189,38.5143077,-122.9831607
6635,34.7513712,-118.2522977
925,38.6115804,-121.4339231
21491,33.7455731,-117.8678338
26596,45.4958789,-122.6093776
26654,33.6899213,-117.7729223
7387,39.4064971,-105.4766783
7584,34.0427339,-118.4237319
7621,33.8017659,-117.1455862
8129,37.3237201,-121.9362127
18270,35.2827524,-120.6596156
23592,34.0045896,-118.3331495
8476,33.7739053,-117.9414477
7933,38.8778926,-104.8104424
8350,36.9741171,-122.0307963
8494,32.7478086,-117.1081777
7930,32.7494988,-117.2470353
8352,37.8534093,-121.9017954
8907,33.982268,-118.4615559
18423,34.7513712,-118.2522977
8771,52.3714892,4.896645
18465,33.640855,-117.603104
9644,34.0197335,-117.9586754
1088,33.7700504,-118.1937395
9645,33.4669721,-117.6981075
24981,33.6469661,-117.689218
9295,42.4538076,-83.0836291
10942,34.0509202,-117.4987712
9800,34.09751,-117.6483876
10165,39.7186001,-105.0172283
9688,39.723971,-105.180021
10819,33.82379,-116.3807485
10999,33.6899213,-117.7729223
26690,33.6899213,-117.7729223
10740,47.1344563,-122.4341287
10726,39.306026,-123.7984586
10715,47.531189,-122.586868
10852,33.8302961,-116.5452921
11429,33.5649666,-117.7286041
1734,37.0566818,-122.0757169
11574,34.2037124,-118.4571974
11186,42.7811566,-86.0219255
11525,34.1478263,-118.2759119
11643,37.3393857,-121.8949555
2031,33.62631,-117.7148187
12167,34.0876091,-118.3086171
11867,33.6469661,-117.689218
18587,34.1629833,-118.3734674
11771,36.3136201,-121.3541631
11646,40.680001,-122.355776
12348,47.7151435,-122.344475
12277,33.9533487,-117.3961564
2033,33.8640647,-118.1766294
18601,34.09751,-117.6483876
12190,36.9756764,-121.888087
12671,34.0197335,-117.9586754
12173,33.9424658,-117.2296717
12229,33.6899213,-117.7729223
18644,37.7749295,-122.4194155
18745,39.0968493,-120.0323507
18749,33.9319578,-117.9461734
12850,39.7691598,-105.0522578
13402,39.7795598,-104.9203696
13290,38.6944996,-120.8158515
13448,47.6645775,-122.3130984
13792,34.3916641,-118.542586
13685,47.925455,-122.3006919
